open_time,open,high,low,close,volume,close_time,quote_volume,trades,date
1483228800000,1010.14,1013.34,1000.03,1005.96,22564669.11,1483315199999,22699167393.35,470187,2017-01-01
1483315200000,989.54,1027.72,978.79,1001.28,46962753.63,1483401599999,47022730935.69,233486,2017-01-02
1483401600000,1018.75,1027.19,1004.44,1013.7,20405950.33,1483487999999,20685518679.47,237950,2017-01-03
1483488000000,1029.96,1037.47,1005.78,1027.26,57297318.3,1483574399999,58859309069.45,84561,2017-01-04
1483574400000,1011.26,1020.87,989.99,1008.92,50578170.94,1483660799999,51029419688.61,218056,2017-01-05
1483660800000,1011.17,1039.33,991.36,1011.85,51410892.76,1483747199999,52020364808.62,354120,2017-01-06
1483747200000,1035.0,1046.38,1030.26,1036.93,61679261.94,1483833599999,63957202544.13,68861,2017-01-07
1483833600000,1031.93,1033.55,1027.61,1029.99,43377006.5,1483919999999,44677755116.75,154121,2017-01-08
1483920000000,1049.77,1069.66,995.51,1017.76,83528481.71,1484006399999,85012211635.13,462389,2017-01-09
1484006400000,1033.11,1033.57,1032.74,1033.15,50709940.75,1484092799999,52391160442.13,289082,2017-01-10
1484092800000,1014.94,1041.67,1004.14,1023.69,63570531.22,1484179199999,65076338676.04,293133,2017-01-11
1484179200000,1029.34,1076.05,994.47,1026.58,83883546.29,1484265599999,86113453750.8,163026,2017-01-12
1484265600000,1038.52,1039.42,1037.45,1038.3,31204809.58,1484351999999,32399958251.55,67671,2017-01-13
1484352000000,1025.64,1031.24,1004.95,1014.4,77371654.25,1484438399999,78485656991.4,227819,2017-01-14
1484438400000,1029.68,1039.53,997.06,1019.63,40926376.67,1484524799999,41729562720.2,402484,2017-01-15
1484524800000,1009.92,1054.96,997.55,1037.07,57706833.62,1484611199999,59846171084.02,346777,2017-01-16
1484611200000,1043.0,1055.93,1025.6,1034.33,30599874.37,1484697599999,31650456750.44,188247,2017-01-17
1484697600000,1051.66,1061.5,1047.53,1053.96,26077562.8,1484783999999,27484695476.9,238165,2017-01-18
1484784000000,1037.56,1045.27,1034.85,1041.47,17994422.82,1484870399999,18740615997.54,347773,2017-01-19
1484870400000,1037.93,1043.48,1035.07,1037.99,17725658.81,1484956799999,18399014659.11,425726,2017-01-20
1484956800000,1074.0,1092.45,1068.48,1077.45,20290831.57,1485043199999,21862273087.39,308277,2017-01-21
1485043200000,1060.91,1065.08,1055.8,1058.89,17891765.63,1485129599999,18945376819.29,404317,2017-01-22
1485129600000,1066.78,1067.54,1064.0,1065.57,43016879.08,1485215999999,45837437966.01,173857,2017-01-23
1485216000000,1049.94,1050.32,1048.86,1049.39,33750344.89,1485302399999,35417393236.5,297440,2017-01-24
1485302400000,1062.72,1066.36,1060.89,1063.59,27437757.56,1485388799999,29182648541.52,417787,2017-01-25
1485388800000,1080.31,1093.38,1068.71,1074.96,37338188.97,1485475199999,40136998224.37,441809,2017-01-26
1485475200000,1061.25,1107.97,1011.06,1061.6,40808033.9,1485561599999,43321909156.22,307398,2017-01-27
1485561600000,1080.25,1094.69,1074.28,1084.28,25752860.0,1485647999999,27923263630.73,170678,2017-01-28
1485648000000,1072.31,1102.82,1063.67,1074.55,45189641.41,1485734399999,48558606208.38,363723,2017-01-29
1485734400000,1062.72,1103.95,1039.94,1081.5,85336769.76,1485820799999,92291309906.9,453060,2017-01-30
1485820800000,1085.78,1098.52,1066.4,1080.38,70489303.98,1485907199999,76155073074.97,352891,2017-01-31
1485907200000,1112.11,1137.29,1101.64,1115.43,63887507.69,1485993599999,71262069473.71,212213,2017-02-01
1485993600000,1069.94,1106.15,1054.88,1093.94,84534111.76,1486079999999,92475283111.69,489775,2017-02-02
