date,open,high,low,close,volume,quote_volume,trades
2017-08-17,4029.87,4288.79,3879.82,4000.0,109854.42,439417678.18,38644
2017-08-18,4000.0,4212.99,4000.0,4156.78,145730.49,605770028.59,52839
2017-08-19,4156.78,4159.97,4129.8,4158.23,56159.18,233522884.54,31069
2017-08-20,4158.23,4227.06,3856.24,4135.82,60700.84,251047561.16,28363
2017-08-21,4135.82,4145.86,4043.75,4113.53,51346.1,211213587.86,31093
2017-08-22,4113.53,4958.62,4113.53,4561.62,135891.87,619887151.28,35963
2017-08-23,4561.62,4929.47,4561.62,4818.05,94922.09,457338925.5,38056
2017-08-24,4818.05,4902.58,4527.88,4724.89,120049.16,567218980.51,29497
2017-08-25,4724.89,5043.26,4632.68,4923.61,58299.13,287042147.24,31567
2017-08-26,4923.61,5258.27,4923.61,5038.98,53539.66,269785340.06,26653
2017-08-27,5038.98,5038.98,4465.19,4531.49,143871.52,651952725.15,43895
2017-08-28,4531.49,4531.49,4231.45,4301.34,105030.15,451770002.69,29127
2017-08-29,4301.34,4749.88,4301.34,4421.26,98198.1,434159405.08,30412
2017-08-30,4421.26,4877.94,4421.26,4869.58,132821.91,646787123.75,28914
2017-08-31,4869.58,5144.88,4718.51,4845.77,47270.52,229061985.96,26071
2017-09-01,4845.77,5009.99,4657.44,4730.77,67256.71,318175695.46,32326
2017-09-02,4730.77,4827.23,4668.42,4803.7,69411.2,333430628.89,28684
2017-09-03,4803.7,4803.7,4536.02,4673.89,67359.75,314832303.66,28193
2017-09-04,4673.89,4678.11,4273.03,4632.68,127419.78,590294832.08,32876
2017-09-05,4632.68,4872.36,4630.79,4669.12,47964.01,223949482.25,28393
2017-09-06,4669.12,4669.12,4325.62,4420.05,48785.98,215636489.73,29812
2017-09-07,4420.05,4755.35,4420.05,4683.98,100256.24,469598179.54,25018
2017-09-08,4683.98,4707.46,4326.0,4390.93,104275.49,457866686.65,30677
2017-09-09,4390.93,4390.93,4012.3,4089.79,188490.96,770889359.8,32491
2017-09-10,4089.79,4208.57,4089.79,4174.32,99984.24,417365903.5,29462
2017-09-11,4174.32,4481.48,4174.32,4401.31,75411.33,331908885.53,31689
2017-09-12,4401.31,4574.29,4285.36,4485.41,54654.87,245149349.22,26102
2017-09-13,4485.41,4696.52,4288.99,4493.06,61450.25,276099852.31,40549
2017-09-14,4493.06,4653.82,4320.73,4450.93,96210.21,428224776.01,44512
2017-09-15,4450.93,4451.22,4338.37,4367.19,52881.44,230943052.06,25900
2017-09-16,4367.19,4702.14,4367.19,4693.55,83211.22,390556412.48,41783
2017-09-17,4693.55,5115.47,4693.55,4827.26,62527.66,301837421.07,28677
2017-09-18,4827.26,4940.13,4718.9,4757.96,102881.67,489506783.83,40340
2017-09-19,4757.96,5370.62,4757.96,5153.86,76601.34,394792803.63,31268
2017-09-20,5153.86,5456.6,4796.79,5392.94,91972.33,496001573.72,40449
2017-09-21,5392.94,5833.89,5392.94,5752.13,165161.35,950029996.48,27002
2017-09-22,5752.13,6231.38,5752.13,6042.88,63903.21,386159537.34,27019
2017-09-23,6042.88,6680.05,6042.88,6342.43,145692.04,924041883.14,43136
2017-09-24,6342.43,6511.8,6342.43,6490.72,97080.34,630121580.31,27584
2017-09-25,6490.72,6569.71,6143.71,6451.25,88675.16,572065263.11,40816
2017-09-26,6451.25,6455.43,6160.69,6213.58,88474.18,549741547.85,28173
2017-09-27,6213.58,6213.58,5535.54,5702.66,104736.65,597277307.75,38265
2017-09-28,5702.66,6501.8,5702.66,5976.61,133740.81,799316880.3,35193
2017-09-29,5976.61,5976.61,5327.83,5700.03,57484.42,327663173.58,30742
2017-09-30,5700.03,6381.57,5700.03,6026.52,116280.53,700766460.8,31475
2017-10-01,6026.52,6038.57,5624.43,5858.66,50766.1,297421279.44,30397
2017-10-02,5858.66,6215.39,5858.66,6028.74,184133.03,1110090723.66,50643
2017-10-03,6028.74,6487.5,5930.01,6059.3,61073.51,370062540.19,26680
2017-10-04,6059.3,6585.68,6059.3,6474.74,84792.81,549011387.23,29718
2017-10-05,6474.74,6866.9,6293.28,6648.64,77456.08,514977274.42,28669
2017-10-06,6648.64,6648.64,6252.08,6305.16,91283.02,575554470.82,34872
2017-10-07,6305.16,6697.18,6055.39,6411.92,58580.51,375613436.97,32569
2017-10-08,6411.92,7035.79,6411.92,6707.91,86258.84,578616926.72,29948
2017-10-09,6707.91,6707.91,5849.13,6196.06,173574.93,1075481433.86,40145
2017-10-10,6196.06,6622.92,6196.06,6593.71,112703.49,743134256.37,32802
2017-10-11,6593.71,6781.63,6443.36,6487.48,79181.97,513691733.04,38995
2017-10-12,6487.48,6487.48,6014.05,6017.03,109026.12,656013914.42,38723
2017-10-13,6017.03,6203.47,5871.33,5951.13,73254.89,435949456.83,31941
2017-10-14,5951.13,5951.13,5321.28,5700.36,84937.64,484175241.46,28195
2017-10-15,5700.36,5700.36,5189.16,5302.67,160349.82,850282194.12,31442
2017-10-16,5302.67,5302.67,4915.22,5031.46,76435.87,384584090.04,33485
2017-10-17,5031.46,5772.21,5031.46,5703.39,257643.96,1469445172.44,59781
2017-10-18,5703.39,5807.5,5519.92,5700.22,131964.28,752226070.85,30632
2017-10-19,5700.22,5873.48,5507.58,5585.44,102656.36,573380544.88,36496
2017-10-20,5585.44,5585.44,5289.49,5444.56,68747.72,374301103.24,25540
2017-10-21,5444.56,5651.79,5095.94,5486.73,51739.76,283882075.06,27511
2017-10-22,5486.73,5944.02,5148.61,5525.28,69441.41,383683258.08,27632
2017-10-23,5525.28,5703.56,5281.89,5325.35,112364.75,598381726.31,26946
2017-10-24,5325.35,5613.39,5325.35,5521.05,157992.35,872283438.77,40231
2017-10-25,5521.05,5623.03,5280.24,5547.51,33697.47,186937097.25,29850
2017-10-26,5547.51,6215.21,5490.51,5712.68,83623.23,477712506.46,41117
2017-10-27,5712.68,6407.77,5712.68,6279.83,129880.45,815627180.45,34971
2017-10-28,6279.83,6867.33,6279.83,6752.65,157650.2,1064556397.95,38656
2017-10-29,6752.65,7894.92,6752.65,7753.18,132699.37,1028841751.64,27358
2017-10-30,7753.18,8946.29,7728.5,8420.37,112183.78,944628906.88,32860
2017-10-31,8420.37,8993.08,8420.37,8872.6,88503.01,785251906.37,31252
2017-11-01,8872.6,9255.16,8562.29,8623.3,96660.4,833531787.13,37260
2017-11-02,8623.3,9417.86,8623.3,9357.66,124750.03,1167368483.7,32996
2017-11-03,9357.66,9479.64,8965.46,9220.9,105848.77,976020406.23,42807
2017-11-04,9220.9,10596.83,9220.9,10445.24,168199.64,1756886253.7,29718
2017-11-05,10445.24,11042.6,9973.4,10587.24,54812.44,580312310.03,27936
2017-11-06,10587.24,11254.17,10587.24,11149.35,132280.52,1474841841.63,40605
2017-11-07,11149.35,11149.35,9844.88,10622.1,76473.41,812308530.08,38430
2017-11-08,10622.1,12060.09,10622.1,10993.04,128327.34,1410707377.61,29015
2017-11-09,10993.04,10993.04,8901.53,9561.31,131758.47,1259783207.46,40230
2017-11-10,9561.31,9561.31,8898.5,9171.62,43248.78,396661359.44,25112
2017-11-11,9171.62,9808.66,9171.62,9634.87,41131.07,396292744.85,27062
2017-11-12,9634.87,9634.87,9311.68,9360.48,107928.36,1010261191.52,42951
2017-11-13,9360.48,9360.48,8880.41,9150.36,227983.01,2086126365.76,42461
2017-11-14,9150.36,9409.46,9101.17,9264.66,55335.19,512661568.68,31405
2017-11-15,9264.66,10292.73,9264.66,9630.61,78918.04,760029095.41,27134
2017-11-16,9630.61,10580.29,9630.61,10293.16,68871.23,708902705.2,33819
2017-11-17,10293.16,10293.16,9018.13,9739.93,250756.51,2442351329.37,44970
2017-11-18,9739.93,10619.34,9739.93,10382.47,135396.33,1405747748.0,48898
2017-11-19,10382.47,10410.71,10271.94,10331.11,75149.2,776374360.49,29515
2017-11-20,10331.11,11107.37,10331.11,10837.22,89193.38,966608186.43,31681
2017-11-21,10837.22,11925.12,10837.22,11679.0,140401.43,1639747626.67,32628
2017-11-22,11679.0,11679.0,10922.23,11104.09,63890.22,709442656.13,31533
2017-11-23,11104.09,11104.09,10261.81,10488.94,167556.36,1757488134.62,42092
2017-11-24,10488.94,11273.78,10426.31,10576.92,75919.12,802990208.53,27501
2017-11-25,10576.92,11336.95,9874.25,10426.17,134388.74,1401159596.5,43609
2017-11-26,10426.17,11355.73,10183.53,11078.4,239288.08,2650927931.06,47890
2017-11-27,11078.4,12365.07,11078.4,11836.0,132825.19,1572119208.78,33818
2017-11-28,11836.0,13689.78,11836.0,13683.5,245375.33,3357593793.63,29795
2017-11-29,13683.5,14419.43,13567.89,13924.55,59054.21,822303429.01,28521
2017-11-30,13924.55,14061.98,13135.75,14035.8,67872.16,952640057.92,29062
2017-12-01,9707.96,10541.86,9707.96,10000.0,117356.34,1173563373.94,38587
2017-12-02,10000.0,10000.0,8450.25,8703.93,109237.59,950795954.55,31304
2017-12-03,8703.93,9683.52,8703.93,9569.8,107477.35,1028536703.49,27473
2017-12-04,9569.8,13357.75,9569.8,12849.96,196786.77,2528702890.5,25384
2017-12-05,12849.96,13635.29,12849.96,13581.3,61695.83,837909336.93,28129
2017-12-06,13581.3,15945.98,13581.3,15735.23,143968.16,2265371975.95,34058
2017-12-07,15735.23,19847.26,15735.23,19232.87,320839.38,6170662288.49,25142
2017-12-08,19232.87,19714.96,18135.99,18231.87,92794.58,1691818991.5,36296
2017-12-09,18231.87,18788.23,17248.45,17984.74,140002.41,2517907273.19,41119
2017-12-10,17984.74,20228.09,17984.74,19910.57,124566.69,2480193506.05,46240
2017-12-11,19910.57,22632.23,19910.57,21095.01,159775.0,3370455201.94,36665
2017-12-12,21095.01,24711.47,20959.77,23552.64,162695.37,3831904970.68,44497
2017-12-13,23552.64,27014.23,22375.72,22761.94,61695.92,1404318987.9,27382
2017-12-14,22761.94,22834.78,21712.24,22593.26,74920.82,1692705420.43,34216
2017-12-15,22593.26,27337.12,22593.26,26116.64,189894.09,4959396497.72,46743
2017-12-16,26116.64,26658.45,22867.73,25871.78,73943.79,1913057315.92,26490
2017-12-17,25871.78,28348.33,25723.9,25901.35,91124.56,2360248830.13,34782
2017-12-18,20098.12,21830.25,19387.13,20000.0,96401.57,1928031405.78,37861
2017-12-19,20000.0,21456.4,20000.0,20576.74,70108.63,1442607257.72,25113
2017-12-20,20576.74,22934.02,20576.74,22188.43,85202.28,1890504790.0,26220
2017-12-21,22188.43,22600.57,21252.5,22483.23,92852.08,2087614301.67,51059
2017-12-22,22483.23,22483.23,20840.35,21623.01,81235.85,1756563605.44,31157
2017-12-23,21623.01,21623.01,19040.3,19611.52,124550.2,2442619220.43,32916
2017-12-24,19611.52,21974.69,19325.59,21328.15,72683.72,1550209506.94,28400
2017-12-25,21328.15,23643.26,21328.15,22185.66,150542.81,3339891779.81,52418
2017-12-26,22185.66,23370.94,20333.98,22329.18,120228.28,2684598653.13,37841
2017-12-27,22329.18,23739.04,21347.0,23401.95,92324.94,2160583401.08,29851
2017-12-28,23401.95,23401.95,19621.73,20534.24,86427.78,1774729136.92,26962
2017-12-29,20534.24,24432.83,20534.24,21959.61,272285.93,5979293345.36,36863
2017-12-30,21959.61,24265.04,21959.61,23565.17,128536.17,3028977028.07,40212
2017-12-31,23565.17,23565.17,20348.22,22003.27,88507.21,1947448206.31,26684
2018-01-01,22003.27,22003.27,20304.86,21036.06,103838.65,2184355684.55,29523
2018-01-02,21036.06,22643.01,20625.31,21056.78,41720.86,878506855.81,27497
2018-01-03,21056.78,21056.78,18237.62,18705.64,219068.74,4097821250.03,40325
2018-01-04,18705.64,18705.64,18077.67,18199.44,69595.9,1266606454.97,31594
2018-01-05,18199.44,19593.04,18199.44,19073.42,102256.59,1950382557.55,30011
2018-01-06,19073.42,20741.21,19073.42,20272.27,211894.97,4295592733.25,30714
2018-01-07,20272.27,20272.27,17105.83,18464.95,58481.3,1079854535.85,26773
2018-01-08,18464.95,24025.79,18464.95,20834.21,73701.2,1535505836.24,31659
2018-01-09,20834.21,23115.97,20834.21,22220.1,139028.33,3089223211.81,42618
2018-01-10,22220.1,23985.98,22220.1,23784.36,69629.53,1656093885.98,27296
2018-01-11,23784.36,24251.74,23290.21,23338.04,97642.16,2278776770.64,31309
2018-01-12,23338.04,25414.27,23330.71,25373.26,173121.8,4392663871.91,33204
2018-01-13,25373.26,28707.45,25373.26,28536.71,169736.98,4843734146.1,42313
2018-01-14,28536.71,28671.59,27641.58,27974.73,46673.57,1305680574.01,27686
